"export-plots data (NetLogo 6.0)"
"Wolf Sheep Predation.nlogo"
"03/20/2017 17:08:08:723 -0400"

"MODEL SETTINGS"
"wolf-gain-from-food","show-energy?","grass?","initial-number-wolves","wolf-reproduce","initial-number-sheep","sheep-gain-from-food","grass-regrowth-time","sheep-reproduce"
"22","false","false","52","5","97","4","38","4"

"""populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","495","0","8830","true","""sheep""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""sheep""","true","0","1","105","397"
"""wolves""","true","0","1","15","397"
"""grass / 4""","true","0","1","55","0"

"""sheep""",,,,"""wolves""",,,,"""grass / 4"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","100","105","true","0","50","15","true",,,,
"1","100","105","true","1","44","15","true",,,,
"2","102","105","true","2","45","15","true",,,,
"3","103","105","true","3","44","15","true",,,,
"4","107","105","true","4","39","15","true",,,,
"5","113","105","true","5","39","15","true",,,,
"6","117","105","true","6","42","15","true",,,,
"7","121","105","true","7","40","15","true",,,,
"8","119","105","true","8","46","15","true",,,,
"9","126","105","true","9","48","15","true",,,,
"10","132","105","true","10","44","15","true",,,,
"11","129","105","true","11","48","15","true",,,,
"12","135","105","true","12","48","15","true",,,,
"13","139","105","true","13","44","15","true",,,,
"14","136","105","true","14","44","15","true",,,,
"15","137","105","true","15","50","15","true",,,,
"16","138","105","true","16","50","15","true",,,,
"17","140","105","true","17","47","15","true",,,,
"18","144","105","true","18","50","15","true",,,,
"19","149","105","true","19","53","15","true",,,,
"20","154","105","true","20","55","15","true",,,,
"21","152","105","true","21","51","15","true",,,,
"22","158","105","true","22","51","15","true",,,,
"23","160","105","true","23","49","15","true",,,,
"24","169","105","true","24","44","15","true",,,,
"25","177","105","true","25","43","15","true",,,,
"26","184","105","true","26","41","15","true",,,,
"27","187","105","true","27","45","15","true",,,,
"28","191","105","true","28","45","15","true",,,,
"29","197","105","true","29","42","15","true",,,,
"30","201","105","true","30","42","15","true",,,,
"31","207","105","true","31","42","15","true",,,,
"32","212","105","true","32","42","15","true",,,,
"33","222","105","true","33","45","15","true",,,,
"34","225","105","true","34","46","15","true",,,,
"35","232","105","true","35","50","15","true",,,,
"36","238","105","true","36","53","15","true",,,,
"37","244","105","true","37","52","15","true",,,,
"38","250","105","true","38","53","15","true",,,,
"39","256","105","true","39","54","15","true",,,,
"40","253","105","true","40","57","15","true",,,,
"41","252","105","true","41","60","15","true",,,,
"42","261","105","true","42","60","15","true",,,,
"43","272","105","true","43","59","15","true",,,,
"44","279","105","true","44","62","15","true",,,,
"45","280","105","true","45","65","15","true",,,,
"46","284","105","true","46","67","15","true",,,,
"47","301","105","true","47","68","15","true",,,,
"48","305","105","true","48","70","15","true",,,,
"49","311","105","true","49","74","15","true",,,,
"50","318","105","true","50","75","15","true",,,,
"51","326","105","true","51","72","15","true",,,,
